GCVS S And                      =M31 V0894
GCVS V0361 Aps                  =NSV 07287
GCVS V0362 Aps                  =NSV 07358
GCVS V0363 Aps                  =NSV 07386
GCVS V0373 Aps                  =NSV 07494
GCVS V0374 Aps                  =NSV 07506
GCVS V0375 Aps                  =NSV 07514
GCVS V0376 Aps                  =NSV 07529
GCVS V0378 Aps                  =NSV 07569
GCVS V0380 Aps                  =NSV 07745
GCVS V0381 Aps                  =NSV 07888
GCVS V0382 Aps                  =NSV 07936
GCVS V0383 Aps                  =NSV 08091
GCVS V0386 Aps                  =NSV 08646
GCVS V0387 Aps                  =NSV 08610
GCVS V0388 Aps                  =NSV 08774
GCVS V0389 Aps                  =NSV 09143
GCVS V0391 Aps                  =NSV 09753
GCVS V0392 Aps                  =NSV 09813
GCVS V0394 Aps                  =NSV 09976
GCVS V0511 Aps                  =NSV 10166
GCVS CL Aqr                     =NSV 13521
GCVS FL Aqr                     =NSV 14256
GCVS FP Aqr                     =NSV 13284
GCVS FV Aqr                     =NSV 25853
GCVS GW Aqr                     =NSV 14182
GCVS HK Aqr                     =NSV 14434
GCVS HM Aqr                     =NSV 14231
GCVS HO Aqr                     =NSV 14702
GCVS HZ Aqr                     =NSV 13768
GCVS IK Aqr                     =NSV 14152
GCVS IP Aqr                     =NSV 13324
GCVS IQ Aqr                     =NSV 13326
GCVS KU Aqr                     =NSV 14141
GCVS KX Aqr                     =NSV 14184
GCVS MN Aqr                     =NSV 14411
GCVS NP Aqr                     =NSV 25363
GCVS NQ Aqr                     =NSV 13551
GCVS NX Aqr                     =NSV 26076
GCVS NY Aqr                     =VY Cap
GCVS NZ Aqr                     =NSV 13281
GCVS OO Aqr                     =NSV 13331
GCVS OP Aqr                     =NSV 13435
GCVS OQ Aqr                     =NSV 13526
GCVS OR Aqr                     =NSV 25517
GCVS OS Aqr                     =NSV 13694
GCVS OT Aqr                     =NSV 25913
GCVS OU Aqr                     =NSV 14437
GCVS OV Aqr                     =NSV 26081
GCVS OW Aqr                     =NSV 14603
GCVS OX Aqr                     =NSV 14744
GCVS V0345 Aqr                  =NSV 25885
GCVS V0348 Aqr                  =NSV 25929
GCVS V0482 Aqr                  =NSV 13220
GCVS V0483 Aqr                  =NSV 13233
GCVS V0484 Aqr                  =NSV 13246
GCVS V0487 Aqr                  =NSV 13396
GCVS V0489 Aqr                  =NSV 13423
GCVS V0492 Aqr                  =NSV 13455
GCVS V0493 Aqr                  =NSV 13458
GCVS V0495 Aqr                  =NSV 13459
GCVS V0498 Aqr                  =NSV 13528
GCVS V0499 Aqr                  =NSV 13525
GCVS V0501 Aqr                  =NSV 13532
GCVS V0502 Aqr                  =NSV 13538
GCVS V0505 Aqr                  =NSV 13672
GCVS V0507 Aqr                  =NSV 13716
GCVS V0510 Aqr                  =NSV 13878
GCVS V0446 Aql                  =V0464 Aql
GCVS V1137 Aql                  =NSV 12135
GCVS V1180 Aql                  =NSV 13062
GCVS V1340 Aql                  =NSV 11270
GCVS V1341 Aql                  =NSV 11546
GCVS V1342 Aql                  =NSV 11748
GCVS V1352 Aql                  =NSV 11921
GCVS V1356 Aql                  =NSV 12394
GCVS V1358 Aql                  =NSV 11996
GCVS V1371 Aql                  =NSV 12212
GCVS V1372 Aql                  =NSV 12234
GCVS V1373 Aql                  =NSV 12256
GCVS V1374 Aql                  =NSV 12290
GCVS V1375 Aql                  =NSV 12297
GCVS V1376 Aql                  =NSV 12611
GCVS V1380 Aql                  =NSV 12291
GCVS V1381 Aql                  =NSV 12308
GCVS V1382 Aql                  =NSV 12317
GCVS V1383 Aql                  =NSV 12322
GCVS V1384 Aql                  =NSV 12334
GCVS V1385 Aql                  =NSV 12337
GCVS V1386 Aql                  =NSV 12358
GCVS V1387 Aql                  =NSV 12362
GCVS V1388 Aql                  =NSV 12368
GCVS V1389 Aql                  =NSV 12388
GCVS V1390 Aql                  =NSV 12392
GCVS V1391 Aql                  =NSV 12412
GCVS V1392 Aql                  =NSV 12443
GCVS V1393 Aql                  =NSV 12445
GCVS V1394 Aql                  =NSV 12450
GCVS V1395 Aql                  =NSV 12462
GCVS V1396 Aql                  =NSV 12475
GCVS V1397 Aql                  =NSV 12497
GCVS V1398 Aql                  =NSV 12500
GCVS V1399 Aql                  =NSV 12516
GCVS V1400 Aql                  =NSV 12540
GCVS V1401 Aql                  =NSV 12766
GCVS V1409 Aql                  =NSV 12697
GCVS V1410 Aql                  =NSV 12711
GCVS V1411 Aql                  =NSV 12712
GCVS V1415 Aql                  =NSV 12342
GCVS V1416 Aql                  =NSV 12814
GCVS V1417 Aql                  =NSV 11233
GCVS V1418 Aql                  =NSV 11689
GCVS V1420 Aql                  =NSV 11912
GCVS V1426 Aql                  =NSV 11802
GCVS V1445 Aql                  =NSV 11792
GCVS V1451 Aql                  =NSV 11915
GCVS V1457 Aql                  =NSV 12064
GCVS V1466 Aql                  =NSV 12496
GCVS V1469 Aql                  =NSV 12685
GCVS V1553 Aql                  =NSV 11683
GCVS V1648 Aql                  =NSV 24846
GCVS V1665 Aql                  =NSV 24630
GCVS V1686 Aql                  =NSV 24714
GCVS V1696 Aql                  =NSV 12313
GCVS V1698 Aql                  =NSV 12364
GCVS V1700 Aql                  =NSV 24968
GCVS V1705 Aql                  =MX Sge
GCVS V1706 Aql                  =CZ Sct
GCVS V1707 Aql                  =NSV 11441
GCVS V1708 Aql                  =NSV 11493
GCVS V1709 Aql                  =NSV 24627
GCVS V1710 Aql                  =NSV 24661
GCVS V1711 Aql                  =NSV 24712
GCVS V1712 Aql                  =NSV 12008
GCVS V1713 Aql                  =NSV 12215
GCVS V1714 Aql                  =NSV 12263
GCVS V1715 Aql                  =NSV 12374
GCVS V1716 Aql                  =NSV 12433
GCVS V1717 Aql                  =NSV 24897
GCVS V1718 Aql                  =NSV 12461
GCVS V1719 Aql                  =NSV 24909
GCVS V1720 Aql                  =NSV 12510
GCVS V1738 Aql                  =NSV 11649
GCVS V1801 Aql                  =NSV 24736
GCVS V1832 Aql                  =NSV 11276
GCVS V1834 Aql                  =NSV 24674
GCVS V1835 Aql                  =NSV 11749
GCVS V1839 Aql                  =NSV 24725
GCVS V1844 Aql                  =NSV 24908
GCVS V1845 Aql                  =NSV 12468
GCVS V1886 Aql                  =NSV 12769
GCVS V1888 Aql                  =NSV 12826
GCVS V1889 Aql                  =NSV 12879
GCVS V1892 Aql                  =NSV 12950
GCVS V1908 Aql                  =NSV 11617
GCVS V1909 Aql                  =NSV 11636
GCVS V1910 Aql                  =NSV 11644
GCVS V1911 Aql                  =NSV 11663
GCVS V1912 Aql                  =NSV 11674
GCVS V1913 Aql                  =NSV 11675
GCVS V1914 Aql                  =NSV 11676
GCVS V1915 Aql                  =NSV 11700
GCVS V1916 Aql                  =NSV 11699
GCVS V1917 Aql                  =NSV 11701
GCVS V1918 Aql                  =NSV 11711
GCVS V1920 Aql                  =NSV 11714
GCVS V1921 Aql                  =NSV 11755
GCVS V1922 Aql                  =NSV 11776
GCVS V1923 Aql                  =NSV 11810
GCVS V1924 Aql                  =NSV 11818
GCVS V1925 Aql                  =NSV 11846
GCVS V1926 Aql                  =NSV 11844
GCVS V1929 Aql                  =NSV 11911
GCVS V1931 Aql                  =NSV 11935
GCVS V1932 Aql                  =NSV 11956
GCVS V1933 Aql                  =NSV 11961
GCVS V1934 Aql                  =NSV 11969
GCVS V1935 Aql                  =NSV 11971
GCVS V1937 Aql                  =NSV 11978
GCVS V1938 Aql                  =NSV 11983
GCVS V1939 Aql                  =NSV 12039
GCVS V1940 Aql                  =NSV 12047
GCVS V1941 Aql                  =NSV 12050
GCVS V1942 Aql                  =NSV 12066
GCVS V1943 Aql                  =NSV 12074
GCVS V1944 Aql                  =NSV 12087
GCVS V1945 Aql                  =NSV 12100
GCVS V1946 Aql                  =NSV 12110
GCVS V1947 Aql                  =NSV 12118
GCVS V1948 Aql                  =NSV 12130
GCVS V1949 Aql                  =NSV 12151
GCVS V1950 Aql                  =NSV 12162
GCVS V1951 Aql                  =NSV 12168
GCVS V1952 Aql                  =NSV 12200
GCVS V1956 Aql                  =NSV 12225
GCVS V1958 Aql                  =NSV 12241
GCVS V1959 Aql                  =NSV 12251
GCVS V1960 Aql                  =NSV 12254
GCVS V1961 Aql                  =NSV 12257
GCVS V1962 Aql                  =NSV 12272
GCVS V1963 Aql                  =NSV 12331
GCVS V1966 Aql                  =NSV 12352
GCVS V1967 Aql                  =NSV 12357
GCVS V1968 Aql                  =NSV 12361
GCVS V1969 Aql                  =NSV 12359
GCVS V1970 Aql                  =NSV 12366
GCVS V1971 Aql                  =NSV 12375
GCVS V1972 Aql                  =NSV 12385
GCVS V1973 Aql                  =NSV 12395
GCVS V1974 Aql                  =NSV 12409
GCVS V1975 Aql                  =NSV 12421
GCVS V1976 Aql                  =NSV 12424
GCVS V1978 Aql                  =NSV 12435
GCVS V1979 Aql                  =NSV 12448
GCVS V1980 Aql                  =NSV 12453
GCVS V1981 Aql                  =NSV 12471
GCVS V1982 Aql                  =NSV 12515
GCVS V1983 Aql                  =NSV 12521
GCVS V1984 Aql                  =NSV 12533
GCVS V1985 Aql                  =NSV 12542
GCVS V1986 Aql                  =NSV 12553
GCVS V1987 Aql                  =NSV 12550
GCVS V1988 Aql                  =NSV 12555
GCVS V1989 Aql                  =NSV 12548
GCVS V1990 Aql                  =NSV 12552
GCVS V1991 Aql                  =NSV 12568
GCVS V1992 Aql                  =NSV 12575
GCVS V1993 Aql                  =NSV 12579
GCVS V1994 Aql                  =NSV 12584
GCVS V1995 Aql                  =NSV 12609
GCVS V1997 Aql                  =NSV 12624
GCVS V1998 Aql                  =NSV 12647
GCVS V1999 Aql                  =NSV 12642
GCVS V2001 Aql                  =NSV 12694
GCVS V2002 Aql                  =NSV 12704
GCVS V2003 Aql                  =NSV 12722
GCVS V2004 Aql                  =NSV 12745
GCVS V2005 Aql                  =NSV 12767
GCVS V2006 Aql                  =NSV 12799
GCVS V2007 Aql                  =NSV 12811
GCVS V2009 Aql                  =NSV 12833
GCVS V2010 Aql                  =NSV 12847
GCVS V2011 Aql                  =NSV 12841
GCVS V2012 Aql                  =NSV 12858
GCVS V2014 Aql                  =NSV 12882
GCVS V2017 Aql                  =NSV 12893
GCVS V2018 Aql                  =NSV 12916
GCVS V2019 Aql                  =NSV 12913
GCVS V2020 Aql                  =NSV 12988
GCVS V2021 Aql                  =NSV 13012
GCVS V2022 Aql                  =NSV 13035
GCVS V2023 Aql                  =NSV 13052
GCVS V2024 Aql                  =NSV 13100
GCVS V2025 Aql                  =NSV 13155
GCVS V2026 Aql                  =NSV 13164
GCVS V2027 Aql                  =NSV 13171
GCVS alf Aql                    =NSV 24910
GCVS RV Ara                     =FQ Ara
GCVS CE Ara                     =NSV 07995
GCVS DD Ara                     =NSV 08305
GCVS GK Ara                     =NSV 09183
GCVS V0466 Ara                  =NSV 08164
GCVS V0664 Ara                  =NSV 07927
GCVS V0803 Ara                  =NSV 08025
GCVS V0804 Ara                  =NSV 08049
GCVS V0805 Ara                  =NSV 08050
GCVS V0806 Ara                  =NSV 08053
GCVS V0807 Ara                  =NSV 08083
GCVS V0808 Ara                  =NSV 08089
GCVS V0809 Ara                  =NSV 08105
GCVS V0810 Ara                  =NSV 08109
GCVS V0811 Ara                  =NSV 08120
GCVS V0812 Ara                  =NSV 08118
GCVS V0813 Ara                  =NSV 08126
GCVS V0814 Ara                  =NSV 08139
GCVS V0815 Ara                  =NSV 08175
GCVS V0816 Ara                  =NSV 08212
GCVS V0817 Ara                  =NSV 08221
GCVS V0818 Ara                  =NSV 08427
GCVS V0830 Ara                  =NSV 09139
GCVS V0836 Ara                  =NSV 08082
GCVS V0839 Ara                  =NSV 08382
GCVS V0840 Ara                  =NSV 07845
GCVS V0842 Ara                  =NSV 07894
GCVS V0846 Ara                  =NSV 08047
GCVS V0847 Ara                  =NSV 08056
GCVS V0849 Ara                  =NSV 08087
GCVS V0852 Ara                  =NSV 08227
GCVS V0872 Ara                  =NSV 20726
GCVS V0874 Ara                  =NSV 08216
GCVS V0877 Ara                  =NSV 08383
GCVS V0878 Ara                  =NSV 07976
GCVS V0879 Ara                  =NSV 08246
GCVS V0880 Ara                  =NSV 08761
GCVS V0881 Ara                  =NSV 09495
GCVS V0881 Ara                  =NSV 09510
GCVS V0882 Ara                  =NSV 20721
GCVS V0883 Ara                  =NSV 07991
GCVS V0884 Ara                  =NSV 08110
GCVS V0885 Ara                  =NSV 08125
GCVS V0886 Ara                  =NSV 21540
GCVS V0887 Ara                  =NSV 08629
GCVS V0888 Ara                  =NSV 08808
GCVS V0889 Ara                  =NSV 09348
GCVS V0890 Ara                  =NSV 09472
GCVS V0891 Ara                  =NSV 09482
GCVS V0892 Ara                  =NSV 09542
GCVS V0893 Ara                  =NSV 09650
GCVS V0894 Ara                  =NSV 09677
GCVS V0895 Ara                  =NSV 10164
GCVS V0896 Ara                  =NSV 10161
GCVS V0911 Ara                  =NSV 09685
GCVS V0913 Ara                  =NSV 09874
GCVS V0915 Ara                  =NSV 09934
GCVS V0916 Ara                  =NSV 07831
GCVS V0917 Ara                  =NSV 07833
GCVS V0918 Ara                  =NSV 07853
GCVS V0920 Ara                  =NSV 07879
GCVS V0923 Ara                  =NSV 07899
GCVS V0924 Ara                  =NSV 07903
GCVS V0925 Ara                  =NSV 07909
GCVS V0926 Ara                  =NSV 07925
GCVS V0927 Ara                  =NSV 07946
GCVS V0928 Ara                  =NSV 07963
GCVS V0929 Ara                  =NSV 07979
GCVS V0930 Ara                  =NSV 07982
GCVS V0932 Ara                  =NSV 08000
GCVS V0933 Ara                  =NSV 08002
GCVS V0934 Ara                  =NSV 08011
GCVS V0935 Ara                  =NSV 08019
GCVS V0936 Ara                  =NSV 08048
GCVS V0937 Ara                  =NSV 08055
GCVS V0938 Ara                  =NSV 08054
GCVS V0939 Ara                  =NSV 08070
GCVS V0940 Ara                  =NSV 08074
GCVS V0941 Ara                  =NSV 08080
GCVS V0942 Ara                  =NSV 08084
GCVS V0943 Ara                  =NSV 08092
GCVS V0944 Ara                  =NSV 08116
GCVS V0945 Ara                  =NSV 08130
GCVS V0946 Ara                  =NSV 08137
GCVS V0947 Ara                  =NSV 08155
GCVS V0948 Ara                  =NSV 08172
GCVS V0949 Ara                  =NSV 08197
GCVS V0950 Ara                  =NSV 08229
GCVS V0951 Ara                  =NSV 08233
GCVS V0953 Ara                  =NSV 08248
GCVS V0954 Ara                  =NSV 08245
GCVS V0955 Ara                  =NSV 08272
GCVS V0956 Ara                  =NSV 08273
GCVS V0957 Ara                  =NSV 08284
GCVS V0958 Ara                  =NSV 08313
GCVS V0959 Ara                  =NSV 08363
GCVS V0960 Ara                  =NSV 08439
GCVS V0961 Ara                  =NSV 08452
GCVS V0962 Ara                  =NSV 08474
GCVS V0963 Ara                  =NSV 08476
GCVS V0964 Ara                  =NSV 08517
GCVS V0965 Ara                  =NSV 08506
GCVS V0966 Ara                  =NSV 08539
GCVS V0967 Ara                  =NSV 08541
GCVS V0968 Ara                  =NSV 08544
GCVS V0970 Ara                  =NSV 08559
GCVS V0971 Ara                  =NSV 08577
GCVS V0972 Ara                  =NSV 08565
GCVS V0973 Ara                  =NSV 08576
GCVS V0974 Ara                  =NSV 08573
GCVS V0975 Ara                  =NSV 08574
GCVS V0976 Ara                  =NSV 08597
GCVS V0977 Ara                  =NSV 08594
GCVS V0978 Ara                  =NSV 08602
GCVS V0979 Ara                  =NSV 08598
GCVS V0980 Ara                  =NSV 08604
GCVS V0982 Ara                  =NSV 08648
GCVS V0983 Ara                  =NSV 08732
GCVS V0984 Ara                  =NSV 08806
GCVS V0985 Ara                  =NSV 08765
GCVS V0986 Ara                  =NSV 08807
GCVS V0987 Ara                  =NSV 08836
GCVS V0988 Ara                  =NSV 08904
GCVS V0989 Ara                  =NSV 08900
GCVS V0990 Ara                  =NSV 08917
GCVS V0991 Ara                  =NSV 08986
GCVS V0992 Ara                  =NSV 08972
GCVS V0993 Ara                  =NSV 09052
GCVS V0994 Ara                  =NSV 09026
GCVS V0995 Ara                  =NSV 09098
GCVS V0996 Ara                  =NSV 09127
GCVS V0997 Ara                  =NSV 09175
GCVS V0999 Ara                  =NSV 09190
GCVS V1000 Ara                  =NSV 09218
GCVS V1001 Ara                  =NSV 09203
GCVS V1002 Ara                  =NSV 09250
GCVS V1003 Ara                  =NSV 09269
GCVS V1004 Ara                  =NSV 09305
GCVS V1005 Ara                  =NSV 09383
GCVS V1007 Ara                  =NSV 09398
GCVS V1008 Ara                  =NSV 09406
GCVS V1009 Ara                  =NSV 09456
GCVS V1010 Ara                  =NSV 09499
GCVS V1012 Ara                  =NSV 09516
GCVS V1013 Ara                  =NSV 09564
GCVS V1014 Ara                  =NSV 09578
GCVS V1015 Ara                  =NSV 09607
GCVS V1016 Ara                  =NSV 09638
GCVS V1017 Ara                  =NSV 09646
GCVS V1018 Ara                  =NSV 09662
GCVS V1019 Ara                  =NSV 09670
GCVS V1020 Ara                  =NSV 09736
GCVS V1021 Ara                  =NSV 09732
GCVS V1022 Ara                  =NSV 09735
GCVS V1023 Ara                  =NSV 09754
GCVS V1024 Ara                  =NSV 09780
GCVS V1025 Ara                  =NSV 09794
GCVS V1026 Ara                  =NSV 09822
GCVS V1027 Ara                  =NSV 09836
GCVS V1028 Ara                  =NSV 09837
GCVS V1029 Ara                  =NSV 09848
GCVS V1030 Ara                  =NSV 09906
GCVS V1031 Ara                  =NSV 09907
GCVS V1032 Ara                  =NSV 09898
GCVS V1033 Ara                  =NSV 09917
GCVS V1034 Ara                  =NSV 09931
GCVS V1035 Ara                  =NSV 09937
GCVS V1036 Ara                  =NSV 09943
GCVS V1037 Ara                  =NSV 09954
GCVS V1038 Ara                  =NSV 09965
GCVS V1039 Ara                  =NSV 09982
GCVS V1040 Ara                  =NSV 09979
GCVS V1041 Ara                  =NSV 09992
GCVS V1042 Ara                  =NSV 10004
GCVS V1043 Ara                  =NSV 10036
GCVS V1044 Ara                  =NSV 10040
GCVS V1045 Ara                  =NSV 10057
GCVS V1157 Ara                  =NSV 10065
GCVS V1158 Ara                  =NSV 10054
GCVS V1159 Ara                  =NSV 10120
GCVS V1160 Ara                  =NSV 10171
GCVS V1161 Ara                  =NSV 10176
GCVS V1162 Ara                  =NSV 10192
GCVS V1163 Ara                  =NSV 10197
GCVS V1164 Ara                  =NSV 10193
GCVS V1166 Ara                  =NSV 10200
GCVS V1167 Ara                  =NSV 10228
GCVS V1168 Ara                  =NSV 10229
GCVS V1169 Ara                  =NSV 10231
GCVS V1170 Ara                  =NSV 10230
GCVS V1171 Ara                  =NSV 10246
GCVS V1172 Ara                  =NSV 10252
GCVS V1173 Ara                  =NSV 10250
GCVS alf Ara                    =NSV 08999
GCVS iot Ara                    =NSV 08566
GCVS AS Ari                     =NSV 01135
GCVS AU Ari                     =NSV 00731
GCVS AV Ari                     =NSV 00738
GCVS AZ Ari                     =NSV 15454
GCVS BB Ari                     =NSV 00907
GCVS BD Ari                     =NSV 00930
GCVS BR Ari                     =NSV 00980
GCVS CN Ari                     =NSV 15403
GCVS V0346 Aur                  =NSV 01745
GCVS V0347 Aur                  =NSV 01774
GCVS V0348 Aur                  =NSV 01917
GCVS V0364 Aur                  =NSV 02020
GCVS V0365 Aur                  =NSV 02223
GCVS V0366 Aur                  =NSV 02263
GCVS V0367 Aur                  =NSV 02453
GCVS V0368 Aur                  =NSV 02502
GCVS V0369 Aur                  =NSV 02568
GCVS V0370 Aur                  =NSV 16642
GCVS V0371 Aur                  =NSV 02673
GCVS V0372 Aur                  =NSV 02707
GCVS V0373 Aur                  =NSV 02749
GCVS V0374 Aur                  =NSV 02844
GCVS V0375 Aur                  =NSV 02856
GCVS V0376 Aur                  =NSV 02858
GCVS V0377 Aur                  =NSV 02870
GCVS V0378 Aur                  =NSV 02916
GCVS V0379 Aur                  =NSV 02921
GCVS V0380 Aur                  =NSV 02923
GCVS V0381 Aur                  =NSV 02929
GCVS V0393 Aur                  =NSV 02629
GCVS V0404 Aur                  =NSV 02733
GCVS V0408 Aur                  =NSV 01768
GCVS V0411 Aur                  =NSV 01816
GCVS V0414 Aur                  =NSV 01852
GCVS V0416 Aur                  =NSV 01871
GCVS V0420 Aur                  =NSV 01947
GCVS V0430 Aur                  =NSV 02136
GCVS V0441 Aur                  =NSV 02716
GCVS V0458 Aur                  =NSV 03016
GCVS V0470 Aur                  =NSV 01771
GCVS V0477 Aur                  =NSV 01838
GCVS V0495 Aur                  =NSV 03199
GCVS V0519 Aur                  =NSV 16894
GCVS V0528 Aur                  =NSV 16259
GCVS V0529 Aur                  =NSV 16295
GCVS V0530 Aur                  =NSV 16653
GCVS V0531 Aur                  =NSV 16695
GCVS V0533 Aur                  =NSV 16829
GCVS V0535 Aur                  =NSV 03007
GCVS V0538 Aur                  =NSV 16618
GCVS V0552 Aur                  =NSV 02872
GCVS V0553 Aur                  =NSV 17163
GCVS V0556 Aur                  =NSV 01707
GCVS V0557 Aur                  =NSV 01732
GCVS V0558 Aur                  =NSV 01753
GCVS V0559 Aur                  =NSV 01766
GCVS V0560 Aur                  =NSV 16199
GCVS V0561 Aur                  =NSV 01813
GCVS V0562 Aur                  =NSV 01916
GCVS V0563 Aur                  =NSV 01943
GCVS V0564 Aur                  =NSV 02072
GCVS V0565 Aur                  =NSV 02432
GCVS V0566 Aur                  =NSV 02565
GCVS V0567 Aur                  =NSV 02591
GCVS V0568 Aur                  =NSV 02590
GCVS V0569 Aur                  =NSV 02621
GCVS V0570 Aur                  =NSV 02645
GCVS V0571 Aur                  =NSV 02651
GCVS V0572 Aur                  =NSV 02735
GCVS V0573 Aur                  =NSV 02739
GCVS V0574 Aur                  =NSV 02763
GCVS V0575 Aur                  =NSV 02828
GCVS V0576 Aur                  =NSV 02850
GCVS V0577 Aur                  =NSV 16791
GCVS V0578 Aur                  =NSV 02939
GCVS V0579 Aur                  =NSV 02951
GCVS V0580 Aur                  =NSV 03008
GCVS V0617 Aur                  =NSV 16617
GCVS V0697 Aur                  =NSV 01869
GCVS V0714 Aur                  =NSV 01903
GCVS V0725 Aur                  =NSV 01942
GCVS V0726 Aur                  =NSV 01949
GCVS V0827 Aur                  =NSV 16188
GCVS V0836 Aur                  =NSV 16263
GCVS V0843 Aur                  =NSV 02146
GCVS BL Boo                     =NSV 06548
GCVS CN Boo                     =NSV 06607
GCVS CY Boo                     =NSV 06613
GCVS DD Boo                     =NSV 06836
GCVS DE Boo                     =NSV 06847
GCVS DF Boo                     =NSV 06854
GCVS DG Boo                     =NSV 07020
GCVS DT Boo                     =NSV 06644
GCVS EK Boo                     =NSV 06796
GCVS EV Boo                     =NSV 06900
