M64,4826,Coma Berenices,Spiral galaxy,12h 56.7m,21° 41',8.5,7.8x1.5,!,Sb - Black-Eye Galaxy
M65,3623,Leo,Spiral galaxy,11h 18.9m,13° 5',9.3,8.0x2.5,*,"Sb -M66, NGC3628 in field"
M66,3627,Leo,Spiral galaxy,11h 20.2m,12° 59',9,8.0x2.5,*,"Sb -M65, NGC3628 in field"
M67,2682,Cancer,Open cluster,8h 50.4m,11° 49',6.9,30,!,nmbr:200 - interesting OC
M68,4590,Hydra,Globular cluster,12h 39.5m,-26° 45',8.2,2.8,*,X
M69,6637,Sagittarius,Globular cluster,18h 31.4m,-32° 21',7.7,2.5,*,V
M70,6681,Sagittarius,Globular cluster,18h 43.2m,-32° 18',8.1,4,*,V
M71,6838,Sagitta,Globular cluster,19h 53.8m,18° 47',8.3,6.1,*,class not certain
M72,6981,Aquarius,Globular cluster,20h 53.5m,-12° 32',9.4,2,*,IX
M73,6994,Aquarius,Open cluster,20h 58.9m,-12° 38',9,2.8,*,asterism of 4 stars
M74,628,Pisces,Spiral galaxy,1h 36.7m,15° 47',9.2,9.0x9.0,*,Sc - fine face-on spiral
M75,6864,Sagittarius,Globular cluster,20h 6.1m,-21° 55',8.6,1.9,*,I - near Cap border
M76,650,Perseus,Planetary nebula,1h 42.4m,51° 34',12.2,140x70,*,cnt str:17-Little Dumbell
M77,1068,Cetus,Spiral galaxy,2h 42.7m,0° -1',8.9,6x5,*,Sbp - Seyfert glx.(3C 71)
M78,2068,Orion,Diffuse nebula,5h 46.7m,0° 3',10.5,8x6,*,spec: B8 - comet shaped
M79,1904,Lepus,Globular cluster,5h 24.5m,-24° 33',8.4,3.2,*,V
M80,6093,Scorpius,Globular cluster,16h 17m,-22° 59',7.2,3.3,*,II -incl Nova T Sco(1860)
M81,3031,Ursa Major,Spiral galaxy,9h 55.6m,69° 4',6.9,18x10,!,Sb - fine spiral
M82,3034,Ursa Major,Irregular galaxy,9h 55.8m,69° 41',8.4,8x3,!,Pec - fine pair with M81
M83,5236,Hydra,Spiral galaxy,13h 37m,-29° 52',8.2,10x8,!,Sc
M84,4374,Virgo,Elliptical galaxy,12h 25.1m,12° 53',9.3,2.0x1.8,*,E1 - center Virgo Cluster
M85,4382,Coma Berenices,Elliptical galaxy,12h 25.4m,18° 11',9.3,2.1x1.7,*,Ep
M86,4406,Virgo,Elliptical galaxy,12h 26.2m,12° 57',9.2,3x2,*,E3 - center Virgo Cluster
M87,4486,Virgo,Elliptical galaxy,12h 30.8m,12° 24',8.6,3x3,*,E1 - X-ray & radio source
M88,4501,Coma Berenices,Spiral galaxy,12h 32m,14° 25',9.5,5.5x2.4,*,Sb - multiple-arm spiral
M89,4552,Virgo,Elliptical galaxy,12h 35.7m,12° 33',9.8,2x2,*,"E0 - bright, round"
M90,4569,Virgo,Spiral galaxy,12h 36.8m,13° 10',9.5,7.0x2.5,*,Sb - well formed oval
M91,4548,Coma Berenices,Spiral galaxy,12h 35.4m,14° 30',10.2,3.7x3.2,*,SBb- barred spiral galaxy
M92,6341,Hercules,Globular cluster,17h 17.1m,43° 8',6.5,8.3,*,IV
M93,2447,Puppis,Open cluster,7h 44.6m,-23° 52',6.2,22,*,number: 80
M94,4736,Canes Venatici,Spiral galaxy,12h 50.9m,41° 7',8.2,5.0x3.5,*,Sbp
M95,3351,Leo,Spiral galaxy,10h 44m,11° 42',9.7,6.1x3.9,*,S(B)b - theta structure
M96,3368,Leo,Spiral galaxy,10h 46.8m,11° 49',9.1,5x4,*,Sbp - pair with M95
M97,3587,Ursa Major,Planetary nebula,11h 14.8m,55° 1',12,3.4x3.0,!,cnt str m:14 - Owl Nebula
M98,4192,Coma Berenices,Spiral galaxy,12h 13.8m,14° 54',10.1,8.4x1.9,*,"Sb-knotty, bright spindle"
M99,4254,Coma Berenices,Spiral galaxy,12h 18.8m,14° 25',9.8,4.6x3.9,!,Sc
M100,4321,Coma Berenices,Spiral galaxy,12h 22.9m,15° 49',9.4,5.3x4.5,!,Sc - fine spiral
M101,5457,Ursa Major,Spiral galaxy,14h 3.2m,54° 21',7.7,22x20,*,Sc-splendid large face-on
M102,5457,Ursa Major,Spiral galaxy,14h 3.2m,54° 21',7.7,22x20,*,Sc - Duplicate of M101
M103,581,Cassiopeia,Open cluster,1h 33.2m,60° 42',7.4,5,*,nmbr: 25 -arrowhead shape
M104,4594,Virgo,Spiral galaxy,12h 40m,-11° 37',8.3,7.0x1.5,!,Sb - Sombrero Galaxy
M105,3379,Leo,Elliptical galaxy,10h 47.8m,12° 35',9.2,2.2x2.0,,"E1 -group with 3384, 3389"
M106,4258,Canes Venatici,Spiral galaxy,12h 19m,47° 18',8.3,18.2x7.0,!,Sbp
M107,6171,Ophiuchus,Globular cluster,16h 32.5m,-13° 3',8.1,2.2,,X
M108,3556,Ursa Major,Spiral galaxy,11h 11.5m,55° 40',10.1,7.7x1.3,*,Sc - edge-on/M97 in field
M109,3992,Ursa Major,Spiral galaxy,11h 57.6m,53° 23',9.8,6.2x3.5,,SBb -barred spiral galaxy
M110,205,Andromeda,Elliptical galaxy,0h 40.4m,41° 41',9.4,8.0x3.0,,E6 - companion of M31
