HIP   |HD    |BD         |HR  |Fl |Bayer|Comp  |RA          |Dec         |Px    |pmRA    |pmDe    |SpType                    |RV     |mB    |mV   |mI    |B-V   |Cst|Star name                 |FlN    |BaN      |
   365|225218|BD+41 4933 |9105|   |     |AB    |  1.15248328| 42.09256177|  2.59|  -12.40|  -10.70|A3IVsp lambda Boo         |  -8.00| 9.298| 8.83| 8.352| 0.468|Phe|                          |       |         |
   377|225253|CP-72  2800|9108|   |     |      |  1.17188754|-71.43685826|  5.70|   29.78|  -12.85|B7Vp                      |   0.00|10.181| 9.14| 8.274| 1.041|Phe|                          |       |         |
   379|225216|BD+66 1679 |9104|   |     |      |  1.17432274| 67.16638779| 10.79|   95.89|   23.25|K1III                     | -28.77| 8.402| 8.26| 8.106| 0.142|And|                          |       |         |
   394|225239|BD+33 4828 |9107|   |     |      |  1.22172860| 34.65955197| 25.52|  769.20|   95.60|G2   V                    |   4.80| 9.083| 7.63| 6.331| 1.453|Psc|                          |       |         |
   399|225276|BD+25 5068 |9109|   |     |A     |  1.23302973| 26.64879959|  5.00|  109.40|  -13.10|K4IIIb                    |  -4.10| 9.130| 9.09| 9.010| 0.040|Cas|                          |       |         |
   417|6     |BD-01 4525 |2   |   |     |      |  1.26581887| -0.50290549|  7.20|   45.66|  -53.63|K0 III                    |  15.30| 8.566| 8.10| 7.612| 0.466|Cet|                          |       |         |
   418|225289|BD+60 2667 |9110|   |     |      |  1.27555237| 61.31396451|  4.51|   14.38|    2.46|B6III                     |   4.40| 6.944| 6.43| 5.901| 0.514|Peg|                          |       |         |
   424|3     |BD+44 4550 |1   |   |     |A     |  1.29075316| 45.22907895|  7.22|  -28.90|  -19.20|A0Vn lambda Boo           | -18.00| 9.986| 9.07| 8.221| 0.916|Cet|                          |       |         |
   443|28    |BD-06 6357 |3   |33 |     |A     |  1.33394067| -5.70783238| 25.32|  -13.00|   88.90|K0 III                    |  -6.56| 8.830| 7.68| 6.691| 1.150|Peg|                          |33Peg  |         |
   476|87    |BD+12 5063 |4   |86 |     |      |  1.42473245| 13.39628233|  8.75|   43.39|   -5.98|G4III                     |   1.70|10.831|10.44| 9.997| 0.391|Phe|                          |86Phe  |         |
   518|123   |BD+57 2865 |5   |   |     |AB    |  1.56474412| 58.43668987| 46.56|  270.60|   30.10|G4V                       | -13.79| 9.428| 8.65| 7.913| 0.778|Oct|                          |       |         |
   522|142   |CD-49 14337|6   |   |     |AB    |  1.57776313|-49.07509412| 38.89|  574.70|  -37.40|F7V                       |   6.00| 7.935| 7.46| 6.943| 0.475|Cet|                          |       |         |
   531|144   |BD+63 2107 |7   |10 |     |      |  1.61052837| 64.19616866|  3.76|   10.46|    0.10|B8.5IV(e)                 |  -0.90|11.180|10.61| 9.970| 0.570|Cep|                          |10Cep  |         |
   544|166   |BD+28 4704 |8   |   |     |A     |  1.65221110| 29.02193534| 73.15|  380.84| -178.61|G8V                       |  -6.59| 8.726| 8.70| 8.636| 0.026|Cas|                          |       |         |
   560|203   |CD-23     4|9   |   |     |      |  1.70843592|-23.10742534| 25.39|   97.66|  -47.14|F3V                       |   6.50| 8.587| 8.20| 7.788| 0.387|Peg|                          |       |         |
   602|256   |BD-18 6428 |10  |   |     |      |  1.82613791|-17.38703091|  5.68|   -9.50|   16.11|A3V (shell)               | -10.20| 7.212| 6.18| 5.290| 1.032|Cas|                          |       |         |
   635|315   |BD-03    2 |11  |4  |     |      |  1.93373154| -2.54868603|  5.45|   28.90|    2.09|B9IVpSi                   |  13.20| 9.014| 7.91| 6.978| 1.104|Psc|                          |4Psc   |         |
   636|319   |CD-23    13|12  |   |     |AB    |  1.94523211|-22.50847536| 12.76|   69.52|  -34.96|A1Vb lambda Boo           |  -6.40|10.618| 9.59|      |      |Tuc|                          |       |         |
   655|344   |CD-34    17|13  |   |     |      |  2.01465531|-33.52933373| 10.53|  -43.53|    3.28|K1 III                    |   6.80| 9.605| 8.57| 7.680| 1.035|Scl|                          |       |         |
   664|352   |BD-03    3 |14  |5  |     |      |  2.05038305| -2.44769889|  3.58|    7.40|   -4.71|K2 IIICNIVp               |  -0.43|11.930|10.78| 9.659| 1.150|Phe|                          |5Phe   |         |
   671|360   |BD-09    5 |16  |   |     |      |  2.07313617| -8.82402530| 10.16|  -35.14|  -35.84|K1 II                     |  20.40| 8.474| 7.31| 6.308| 1.164|Phe|                          |       |         |
   677|358   |BD+28    4 |15  |21 |Alp  |A     |  2.09653385| 29.09082837| 33.62|  137.46| -163.44|B5.5V                     | -10.10| 9.980| 9.53| 9.055| 0.450|Peg|Alpheratz                 |21Peg  |AlpPeg   |
   696|402   |BD-18    3 |18  |   |     |      |  2.13953211|-17.57804014|  1.73|   15.50|  -47.80|M0/1 IIICNVP              | -17.10| 7.106| 6.49| 5.899| 0.616|Phe|                          |       |         |
   699|400   |BD+35    8 |17  |   |     |      |  2.17092341| 36.62742812| 30.82| -114.52| -125.03|F7V                       | -15.10| 9.846| 8.94| 8.129| 0.906|Psc|                          |       |         |
   716|417   |BD+24    3 |19  |   |     |      |  2.21695364| 25.46285160|  7.22|  104.51|   54.72|G8II-III                  |  16.11| 8.756| 8.56| 8.385| 0.196|Oct|                          |       |         |
   729|448   |BD+17    7 |22  |87 |     |      |  2.25974242| 18.21202521| 11.44|  140.17|  -25.67|G9III                     | -20.20|      |10.96|      |      |Scl|                          |87Scl  |         |
   730|469   |CP-54    19|23  |   |     |AB    |  2.25977760|-54.00196270|  7.79|   46.60|   13.30|G8III + A/F               |  -0.90|11.600|10.57| 9.600| 1.030|Peg|                          |       |         |
   746|432   |BD+58    3 |21  |11 |Bet  |A     |  2.29204030| 59.15021806| 59.58|  523.50| -179.77|F2III                     |   4.30| 7.951| 7.40| 6.761| 0.551|Tuc|Caph                      |11Tuc  |BetTuc   |
   760|431   |BD+78    1 |20  |   |     |AB    |  2.33262135| 79.71464134|  9.48|  106.10|  -33.20|A6IV                      |  -3.00| 9.449| 8.12| 6.986| 1.329|Psc|                          |       |         |
   761|493   |CD-28    16|24  |   |Kap01|AB    |  2.33758603|-27.98790380| 12.91|   78.00|  -16.50|F3 V                      |   7.70| 9.133| 8.27| 7.473| 0.863|Tuc|                          |       |Kap01Tuc |
   765|496   |CD-46    18|25  |   |Eps  |      |  2.35224983|-45.74698832| 22.62|  117.10| -179.30|K0III                     |  -9.20| 7.570| 7.05| 6.520| 0.520|Cas|                          |       |EpsCas   |
   813|560   |BD+10    8 |26  |34 |     |AB    |  2.50910232| 11.14580907| 10.68|   30.20|    4.20|B9   V                    |  13.40| 9.181| 9.09| 9.025| 0.091|Cas|                          |34Cas  |         |
   814|636   |CP-82     4|30  |   |Gam03|      |  2.50945407|-82.22399741| 12.81|  -21.66|  -20.40|K1/2III                   |  15.00| 8.726| 8.34| 7.931| 0.386|Tuc|                          |       |Gam03Tuc |
   840|587   |BD-06   11 |29  |   |     |      |  2.57853859| -5.24851700| 17.15|   36.75|  -29.19|K0 III                    |  23.80| 9.941| 8.86| 7.966| 1.081|Cas|                          |       |         |
   841|571   |BD+45   17 |27  |22 |     |      |  2.58017491| 46.07227154|  2.65|    5.46|    0.32|F5Ib-II                   |  -8.20| 9.264| 8.27| 7.417| 0.994|Phe|                          |22Phe  |         |
   857|584   |BD+56   11 |28  |   |     |      |  2.62358023| 57.16549757|  5.57|   19.36|   -0.69|B7IV                      |   1.80| 6.313| 6.36| 6.378|-0.047|And|                          |       |         |
   865|661   |CP-73     4|32  |   |     |AB    |  2.65962296|-73.22443406| 14.20|  123.30|   19.70|F3/F5IV+...               | -14.70| 9.236| 8.08| 7.082| 1.156|Scl|                          |       |         |
   873|645   |BD-13   13 |31  |   |     |      |  2.67810586|-12.57980377| 13.33|  148.92|  -39.11|K0 III                    |   8.20|12.147|11.00| 9.713| 1.147|Phe|                          |       |         |
   910|693   |BD-16   17 |33  |6  |     |      |  2.81628367|-15.46732273| 53.34|  -82.98| -270.23|F8V Fe-0.8 CH-0.5         |  14.81| 8.951| 8.55| 8.117| 0.401|Tuc|                          |6Tuc   |         |
   930|720   |CD-28    26|34  |   |Kap02|A     |  2.89340455|-27.79977841|  4.11|    4.60|   16.20|K2 III                    |  -5.60| 8.325| 7.83| 7.305| 0.495|Peg|                          |       |Kap02Peg |
   950|739   |CD-35    42|35  |   |The  |      |  2.93286720|-35.13339602| 47.00|  169.76|  114.63|F5V                       | -21.10| 9.730| 8.79| 7.800| 0.940|Peg|                          |       |ThePeg   |
   967|743   |BD+47   21 |36  |   |     |      |  2.99596728| 48.15237109|  4.95|   60.67|   10.05|K4III                     |  14.25| 8.465| 8.33| 8.185| 0.135|Peg|                          |       |         |
   983|787   |BD-18   14 |37  |   |     |      |  3.04145454|-17.93821760|  5.24|   56.03|  -25.21|K4 III                    | -12.40|11.126|10.42| 9.617| 0.706|And|                          |       |         |
  1030|829   |BD+36   12 |38  |   |     |      |  3.20935188| 37.69366309|  1.80|    1.67|   -2.64|B3III                     |  -5.50| 9.106| 8.26| 7.497| 0.846|And|                          |       |         |
  1067|886   |BD+14   14 |39  |88 |Gam  |A     |  3.30895847| 15.18361610|  8.33|    1.98|   -9.28|B2IV                      |   3.20| 9.641| 8.97| 8.327| 0.671|Cet|Algenib                   |88Cet  |GamCet   |
  1074|1032  |CP-85     2|47  |   |     |      |  3.33145157|-84.99402084|  3.35|   10.82|   17.61|M0/1III                   |   4.00| 8.346| 6.90| 5.614| 1.446|Cep|                          |       |         |
  1076|895   |BD+26   13 |40  |   |     |AB    |  3.34972191| 26.98762539|  7.61|  -13.60|  -34.00|F8V                       |  -8.58|10.998| 9.93| 9.000| 1.068|And|                          |       |         |
  1086|905   |BD+40   29 |41  |23 |     |      |  3.37889717| 41.03572675| 28.65| -123.22| -146.41|F0IVs                     | -27.10| 8.944| 7.42| 5.998| 1.524|Phe|                          |23Phe  |         |
  1096|942   |CD-26    56|42  |   |     |      |  3.42591832|-26.02215420|  2.52|   38.11|  -78.61|K5 III                    | -29.50|10.700| 9.03| 6.968| 1.670|And|                          |       |         |
  1099|943   |CD-26    57|43  |   |     |      |  3.43491474|-26.28498313|  3.77|   -3.45|   10.16|K4 III                    |  18.60| 8.432| 8.41| 8.371| 0.022|Scl|                          |       |         |
  1123|952   |BD+32   21 |44  |   |     |      |  3.50952686| 33.20608457|  9.69|   -8.96|  -19.29|A0III                     |   0.90| 9.263| 8.06| 7.040| 1.203|Peg|                          |       |         |
  1158|1014  |BD-08   26 |46  |   |     |AB    |  3.61496759| -7.78053798|  5.60|   60.90|    4.50|M1/2  III                 |   0.40| 9.219| 8.69| 8.135| 0.529|And|                          |       |         |
  1168|1013  |BD+19   27 |45  |89 |Chi  |      |  3.65045040| 20.20669713|  8.86|   90.72|    1.22|M2+ III                   | -46.60| 8.966| 8.40| 7.832| 0.566|Cet|                          |89Cet  |ChiCet   |
  1170|1038  |BD-19   21 |48  |7  |     |      |  3.66013616|-18.93268630|  7.29|  -26.17|  -73.61|M1 III                    | -22.90| 9.212| 8.57| 7.946| 0.642|Psc|                          |7Psc   |         |
  1191|1064  |BD-10   30 |51  |   |     |      |  3.72708879| -9.56955074|  9.63|   23.65|   -7.80|B9V                       |  19.90|10.607| 9.50| 8.512| 1.107|Cet|                          |       |         |
  1193|1048  |BD+21   13 |49  |   |     |      |  3.73279435| 22.28425204|  7.10|   44.86|  -10.87|A1IV-V                    |  15.00|10.576| 8.85| 7.198| 1.726|Cas|                          |       |         |
  1195|1089  |CD-35    65|54  |   |     |      |  3.74253249|-34.90419370|  5.14|   76.17|  -11.85|K3 III                    | -52.20|10.462| 9.61| 8.700| 0.852|Peg|                          |       |         |
  1196|1061  |BD+08   19 |50  |35 |     |A     |  3.74492301|  8.82102239| 12.86|  100.80|  -26.30|A9IV                      |   2.60|10.979|10.62|10.173| 0.359|Cet|                          |35Cet  |         |
  1208|1075  |BD+30   26 |52  |   |     |      |  3.77886508| 31.53573777|  3.49|   32.73|   -4.85|K5                        |   1.92| 8.068| 8.05| 8.013| 0.018|Cep|                          |       |         |
  1215|1083  |BD+26   23 |53  |   |     |A     |  3.79397766| 27.28347712|  7.40|   15.31|  -15.99|A0Vn                      |  -4.00| 8.230| 7.80| 7.343| 0.430|Psc|                          |       |         |
  1268|1221  |CP-76    19|58  |   |     |      |  3.97890183|-75.91160950|  5.28|  -17.26|   -1.95|G8/K0III                  |  15.90| 6.621| 5.71| 4.897| 0.911|Phe|                          |       |         |
  1288|1187  |CD-32    72|57  |   |     |A     |  4.03660690|-31.44632826|  6.57|  118.40|  -25.90|K2 III                    |  26.30| 9.436| 7.87| 6.478| 1.566|Cas|                          |       |         |
  1296|1141  |BD+76    5 |55  |   |     |AB    |  4.05785367| 76.95076267|  5.20|   17.80|    1.40|B8Vnn                     |  -4.80| 8.140| 7.64| 7.127| 0.500|Phe|                          |       |         |
  1302|1185  |BD+42   41 |56  |   |     |AB    |  4.08958550| 43.59510616|  9.39|   36.60|  -20.00|A2V                       |   3.00| 8.960| 7.66| 6.544| 1.300|Psc|                          |       |         |
  1319|1227  |BD+07   27 |59  |36 |     |AB    |  4.14190517|  8.24018997|  8.00|  -26.60|  -16.20|G8II-III                  |   0.07| 9.624| 8.68| 7.844| 0.944|Cet|                          |36Cet  |         |
  1331|1256  |BD-21   24 |61  |   |     |      |  4.17644797|-20.21005696|  5.47|   -7.98|   -1.93|B6 III/IV                 |  12.00| 8.739| 8.12| 7.512| 0.619|Psc|                          |       |         |
  1342|1324  |CP-79     7|64  |   |     |      |  4.20080417|-78.78009250|  9.54|   61.87|  -25.07|F3III                     | -12.50|10.744|10.10| 9.389| 0.644|Scl|                          |       |         |
  1354|1239  |BD+60   21 |60  |   |     |A     |  4.23771175| 61.53319401|  5.26|   -6.08|   -3.41|G4II                      |  -1.70| 9.183| 8.67| 8.134| 0.513|Cet|                          |       |         |
  1366|1280  |BD+37   34 |63  |24 |The  |AB    |  4.27306553| 38.68167907| 10.56|  -53.40|  -13.50|A2IV                      |  -8.80|11.820|10.46| 9.103| 1.360|Peg|                          |24Peg  |ThePeg   |
  1372|1279  |BD+47   50 |62  |   |     |      |  4.28766759| 47.94741501|  2.91|    3.81|   -3.76|B7II+                     |  -9.20|10.010| 9.48| 8.921| 0.530|Cet|                          |       |         |
  1402|1343  |BD-19   30 |66  |   |     |      |  4.38621018|-19.05108594| 20.62|   20.49|   -2.55|F2Vs                      |  -3.90|10.421| 9.87| 9.294| 0.551|Phe|                          |       |         |
  1415|1337  |BD+50   46 |65  |   |Ao   |A     |  4.42943981| 51.43309434|  1.36|   -5.90|   -1.50|O9.5Ib                    | -31.10| 9.875| 7.04| 4.473| 2.835|Cas|                          |       |AoCas    |
  1421|1367  |BD+00   28 |67  |   |     |      |  4.44852189|  1.68870500|  8.52|   91.00|    9.38|K0 III                    |  -9.42| 9.338| 8.44| 7.640| 0.898|Peg|                          |       |         |
  1465|1419  |BD+10   25 |69  |   |     |      |  4.57193830| 11.20628309|  6.50|  -31.93|  -28.61|K0III                     |   9.18|10.389| 9.88| 9.311| 0.509|Phe|                          |       |         |
  1473|1404  |BD+35   44 |68  |25 |Sig  |      |  4.58210536| 36.78532727| 24.20|  -65.65|  -42.01|A2V                       |  -8.20| 8.600| 7.05| 5.502| 1.550|Phe|                          |25Phe  |SigPhe   |
  1493|1439  |BD+30   35 |71  |   |     |      |  4.65924055| 31.51723400|  6.00|   57.58|   -2.79|A1III                     |  -5.30| 8.828| 8.29| 7.737| 0.538|Tuc|                          |       |         |
  1499|1461  |BD-08   38 |72  |   |     |      |  4.67342350| -8.05265108| 43.02|  417.48| -143.93|G3V                       | -10.14| 9.883| 9.34| 8.784| 0.543|Scl|                          |       |         |
  1501|1438  |BD+42   48 |70  |26 |     |AB    |  4.67562505| 43.79114795|  4.93|   24.00|    0.90|B8V                       |   1.00| 8.185| 7.73| 7.254| 0.455|Cep|                          |26Cep  |         |
  1502|1483  |CD-43    64|73  |   |     |      |  4.67717477|-43.23557045|  8.89|   49.53|   -0.40|K2III                     |  11.50| 7.190| 6.22| 5.376| 0.970|Cas|                          |       |         |
  1562|1522  |BD-09   48 |74  |8  |Iot  |A     |  4.85701294| -8.82382954| 11.88|  -14.70|  -37.50|K1 II + (K)               |  19.10| 7.145| 5.53| 3.842| 1.615|Phe|Deneb Kaitos Shemali      |8Phe   |IotPhe   |
  1575|1527  |BD+39   56 |75  |   |     |      |  4.92324684| 40.72950697|  5.71|  -25.57|  -17.96|K1III                     | -37.87| 9.845| 8.53| 7.384| 1.315|Tuc|                          |       |         |
  1599|1581  |CP-65    13|77  |   |Zet  |      |  5.00797597|-64.87762321|116.46| 1707.45| 1164.32|F9.5V                     |   8.80| 7.618| 7.23| 6.802| 0.388|Psc|                          |       |ZetPsc   |
  1603|1561  |BD+48   79 |76  |   |     |      |  5.02153827| 48.86548462|  4.74|   -3.24|  -14.63|A1IV                      |  -3.00| 9.397| 8.61| 8.067| 0.787|And|                          |       |         |
  1630|1606  |BD+30   42 |78  |   |     |      |  5.10163330| 30.93561533|  6.26|   14.22|   -1.16|B7V                       |   3.80|12.588|11.28|10.300| 1.308|And|                          |       |         |
  1645|1635  |BD+07   36 |80  |41 |D    |      |  5.14943426|  8.19024825|  8.00|   -4.18|    9.73|K2.5III                   |  14.88|12.144|10.76| 9.026| 1.384|Cet|                          |41Cet  |DCet     |
  1647|1685  |CP-70    12|83  |   |Pi.  |*     |  5.16267804|-69.62491144| 10.25|   -3.51|   -0.12|B9V                       |  10.50| 8.951| 8.93| 8.897| 0.021|Cas|                          |       |PiCas    |
  1657|1632  |BD+32   45 |79  |   |     |      |  5.18974482| 32.91122838|  5.21|  -29.89|  -17.27|K5III                     | -36.71| 8.604| 7.95| 7.371| 0.654|Peg|                          |       |         |
  1670|1663  |BD+10   32 |81  |   |     |AB    |  5.22755239| 10.97696775|  3.22|  -40.20|  -29.00|B9.5V                     | -17.80| 7.620| 7.46| 7.291| 0.160|Tuc|                          |       |         |
  1686|1671  |BD+37   45 |82  |27 |Rho  |      |  5.28010795| 37.96869939| 20.60|   58.88|  -38.58|F5IV-V                    |  10.40| 9.035| 8.60| 8.139| 0.435|Scl|                          |27Scl  |RhoScl   |
  1706|1801  |CP-78     9|87  |   |     |      |  5.36976184|-77.42685694|  5.72|   12.98|   -7.23|K3III                     |  20.80| 9.643| 8.55| 7.627| 1.093|Tuc|                          |       |         |
  1708|1737  |CD-29    86|84  |   |Iot  |      |  5.37990199|-28.98129522|  9.87|   32.90|  -72.06|K0 III                    |  20.60| 9.806| 9.20| 8.594| 0.606|Cet|                          |       |IotCet   |
  1728|1760  |BD-20   50 |85  |   |T    |      |  5.44264472|-20.05799243|  3.70|   62.28|  -12.80|M5/6 IB/II                |  28.90| 7.891| 6.82| 5.889| 1.071|And|                          |       |TAnd     |
  1772|1796  |BD+12   25 |86  |42 |     |A     |  5.60602185| 13.48243405|  6.50|   62.30|   22.80|K3III                     |   4.45| 9.473| 8.29| 7.303| 1.183|Phe|                          |42Phe  |         |
  1803|1835  |BD-13   60 |88  |9  |     |A     |  5.71480435|-12.20958468| 47.93|  394.36|   61.13|G3V                       |  -2.53| 8.027| 6.83| 5.807| 1.197|Peg|                          |9Peg   |         |
  1830|1909  |CD-31   138|89  |   |     |      |  5.80247095|-31.03578189|  5.79|   22.04|    3.00|B9 IV                     |   8.00| 6.034| 4.78| 3.668| 1.254|Oct|                          |       |         |
  1901|1967  |BD+37   58 |90  |   |R    |A     |  6.00816250| 38.57712218|  2.59|  -20.30|  -28.20|S6.6        E,V           |  -6.40| 8.379| 7.21| 6.211| 1.169|Cep|                          |       |RCep     |
  1921|1976  |BD+51   62 |91  |   |     |AB    |  6.06518431| 52.01992475|  3.26|   13.62|   -3.92|B5IV                      |  -9.70| 5.987| 5.58| 5.148| 0.407|Cas|                          |       |         |
  1939|2023  |BD-03   49 |94  |   |     |      |  6.12362165| -2.21896144|  6.59|  -34.80|  -42.40|K2 III                    |  15.30| 9.066| 8.70| 8.322| 0.366|Phe|                          |       |         |
  1960|2011  |BD+61   69 |93  |12 |     |      |  6.19786932| 61.83106330|  4.65|   13.87|   -3.17|B9III                     |  -4.00| 9.029| 8.06| 7.215| 0.969|Peg|                          |12Peg  |         |
  1982|2054  |BD+52   61 |96  |   |     |      |  6.27660738| 53.04678513|  6.32|   25.86|    0.62|B8V                       |   3.40|11.802|10.86| 9.876| 0.942|Phe|                          |       |         |
  2006|2114  |BD+01   57 |97  |44 |     |AB    |  6.35090339|  1.93972365|  6.94|  -15.10|  -13.80|G8 III                    |  -5.40| 6.682| 6.50| 6.321| 0.182|Cep|                          |44Cep  |         |
  2021|2151  |CD-77    15|98  |   |Bet  |      |  6.41334187|-77.25503494|134.07| 2219.57|  324.06|G0V                       |  22.10| 9.879| 9.32| 8.765| 0.559|Psc|                          |       |BetPsc   |
  2072|2262  |CD-44   101|100 |   |Kap  |      |  6.55048403|-43.67990951| 42.00|  106.20|   32.14|A5IVn                     |  11.30|10.220| 9.14| 8.203| 1.080|Scl|                          |       |KapScl   |
  2081|2261  |CD-42   116|99  |   |Alp  |A     |  6.57028160|-42.30512119| 38.50|  199.90| -396.20|K0.5IIIb                  |  75.20| 8.330| 8.13| 7.922| 0.200|Cas|Ankaa                     |       |AlpCas   |
  2100|2273  |BD-00   63 |101 |10 |     |AB    |  6.65572225| -0.04953619|  7.23|   71.40|    2.90|G8 III                    | -22.70|10.978|10.62|10.222| 0.358|Scl|                          |10Scl  |         |
  2159|2363  |CD-26   138|102 |   |     |      |  6.81119658|-25.54713342|  5.68|   32.30|  -16.12|K0 III                    |  -3.00| 7.165| 6.62| 6.062| 0.545|Phe|                          |       |         |
  2210|2429  |CD-33   152|105 |   |Eta  |      |  6.98213616|-33.00704465|  7.22|  -22.90|  -50.10|M2/3 III                  |  12.10|10.224| 9.96| 9.658| 0.264|Psc|                          |       |EtaPsc   |
  2219|2411  |BD+17   55 |103 |47 |Tv   |      |  7.01185216| 17.89307506|  6.17|  115.01|   19.88|M4IIIb                    |   5.31| 9.260| 8.64| 8.034| 0.620|Psc|                          |47Psc  |TvPsc    |
