# "IAU Catalog of Star Names (IAU-CSN)"
# IAU Division C Working Group on Star Names (WGSN)
# https://www.iau.org/science/scientific_bodies/working_groups/280/
# WGSN Chair: Eric Mamajek. Email questions or comments to: IAUWGSN@gmail.com
# Last updated 2017-11-19
#
# For use of the contents of the data of this file, we encourage users
# to refer to the (identical) official IAU version of the data at:
# https://www.iau.org/public/themes/naming_stars/. All IAU-produced
# products (Images, Videos, Texts) are released under Creative Commons
# Attribution (i.e. free to use in all perpetuity, world-wide, as long
# as the source is mentioned).
#
# Name            Designation  ID    Con #    WDS_J       Vmag    HIP#    HD#  RA(J2000) Dec(J2000) Approved   Notes
Acamar            HR 897       tet01 Eri A    02583-4018  2.88   13847  18622  44.565311 -40.304672 2016-07-20 * 
Aldulfin          HR 7852      eps   Del -    -           4.03  101421 195810 308.303216  11.303261 2017-09-05 
Alfirk            HR 8238      bet   Cep Aa   21287+7034  3.23  106032 205021 322.164987  70.560715 2016-08-21 
Algedi            HR 7754      alf02 Cap A    20181-1233  3.58  100064 192947 304.513566 -12.544852 2016-08-21 
Algenib           HR 39        gam   Peg -    00132+1511  2.83    1067    886   3.308963  15.183594 2016-06-30 
Algieba           HR 4057      gam01 Leo -    10200+1950  2.61   50583  89484 154.993144  19.841489 2016-07-20 *
Algol             HR 936       bet   Per Aa1  03082+4057  2.09   14576  19356  47.042215  40.955648 2016-06-30 
Algorab           HR 4757      del   Crv A    12299-1631  2.94   60965 108767 187.466063 -16.515431 2016-07-20 
Alhena            HR 2421      gam   Gem Aa   06377+1624  1.93   31681  47105  99.427960  16.399280 2016-07-20 
Alioth            HR 4905      eps   UMa A    12540+5558  1.76   62956 112185 193.507290  55.959823 2016-06-30  
Aljanah           HR 7949      eps   Cyg Aa   20462+3358  2.48  102488 197989 311.552843  33.970257 2017-06-30 
Alkaid            HR 5191      eta   UMa -    -           1.85   67301 120315 206.885157  49.313267 2016-06-30 
Alkalurops        HR 5733      mu01  Boo Aa   15245+3723  4.31   75411 137391 231.122618  37.377169 2016-08-21 
Alkaphrah         HR 3594      kap   UMa A    09036+4709  4.16   44471  77327 135.906365  47.156525 2017-09-05 
Alkarab           HR 8905      ups   Peg -    -           4.42  115623 220657 351.344931  23.404100 2017-09-05 
Alkes             HR 4287      alf   Crt -    -           4.08   53740  95272 164.943604 -18.298783 2016-09-12 
Almaaz            HR 1605      eps   Aur -    05020+4349  3.03   23416  31964  75.492219  43.823307 2017-02-01 
Almach            HR 603       gam01 And A    02039+4220  2.10    9640  12533  30.974804  42.329725 2016-07-20 * 
Alnair            HR 8425      alf   Gru -    22082-4658  1.73  109268 209952 332.058270 -46.960974 2016-07-20 
Alnasl            HR 6746      gam02 Sgr -    -           2.98   88635 165135 271.452025 -30.424100 2016-08-21 
Alnilam           HR 1903      eps   Ori -    05362-0112  1.69   26311  37128  84.053389  -1.201919 2016-07-20 
Alnitak           HR 1948      zet   Ori Aa   05407-0157  1.74   26727  37742  85.189694  -1.942574 2016-07-20 
Alniyat           HR 6084      sig   Sco Aa1  16212-2536  2.90   80112 147165 245.297149 -25.592792 2017-02-01 
Alphard           HR 3748      alf   Hya -    09276-0840  1.99   46390  81797 141.896847  -8.658602 2016-07-20 
Alphecca          HR 5793      alf   CrB -    -           2.22   76267 139006 233.671950  26.714693 2016-07-20 
Alpheratz         HR 15        alf   And Aa   00084+2905  2.07     677    358   2.096916  29.090431 2016-06-30 
Alrakis           HR 6370      mu    Dra A    17053+5428  5.55   83608 154906 256.333807  54.470078 2017-02-01 
Alrescha          HR 596       alf   Psc A    02020+0246  3.82    9487  12446  30.511772   2.763735 2016-08-21 
Alsafi            HR 7462      sig   Dra -    19324+6940  4.67   96100 185144 293.089960  69.661176 2017-06-30 
Alsciaukat        HR 3275      31    Lyn -    -           4.25   41075  70272 125.708792  43.188131 2017-06-30 
Alsephina         HR 3485      del   Vel Aa   08447-5443  1.99   42913  74956 131.175944 -54.708819 2017-09-05 
Alshain           HR 7602      bet   Aql A    19553+0624  3.71   98036 188512 298.828304   6.406763 2016-08-21 
Alshat            HR 7773      nu    Cap A    20207-1246  4.77  100310 193432 305.165898 -12.759079 2017-06-30 
Altair            HR 7557      alf   Aql -    19508+0852  0.76   97649 187642 297.695827   8.868321 2016-06-30 
Altais            HR 7310      del   Dra -    19126+6740  3.07   94376 180711 288.138750  67.661541 2016-08-21 
Alterf            HR 3773      lam   Leo -    -           4.32   46750  82308 142.930115  22.967970 2017-02-01 
Aludra            HR 2827      eta   CMa -    07241-2918  2.45   35904  58350 111.023760 -29.303106 2016-07-20 
Alula Australis   HR 4375      ksi   UMa Aa   11182+3132  4.41   55203  98231 169.545423  31.529161 2016-07-20 
Alula Borealis    HR 4377      nu    UMa -    11185+3306  3.49   55219  98262 169.619737  33.094305 2016-07-20 
Alya              HR 7141      tet01 Ser A    18562+0412  4.62   92946 175638 284.054949   4.203602 2016-08-21 
Alzirr            HR 2484      ksi   Gem -    -           3.35   32362  48737 101.322351  12.895592 2017-06-30 
Ancha             HR 8499      tet   Aqr -    -           4.17  110003 211391 334.208485  -7.783291 2016-09-12 
Angetenar         HR 850       tau02 Eri -    02510-2100  4.76   13288  17824  42.759674 -21.004018 2017-06-30 
Ankaa             HR 99        alf   Phe -    00263-4218  2.40    2081   2261   6.570939 -42.306084 2016-07-20 
Anser             HR 7405      alf   Vul -    19287+2440  4.44   95771 183439 292.176375  24.664903 2017-06-30 
Antares           HR 6134      alf   Sco A    16294-2626  1.06   80763 148478 247.351915 -26.432003 2016-06-30 
Arcturus          HR 5340      alf   Boo -    14157+1911 -0.05   69673 124897 213.915300  19.182409 2016-06-30 
Arkab Posterior   HR 7343      bet02 Sgr -    -           4.27   95294 181623 290.804740 -44.799779 2016-10-05 
Arkab Prior       HR 7337      bet01 Sgr -    19226-4428  3.96   95241 181454 290.659551 -44.458959 2016-10-05 
Arneb             HR 1865      alf   Lep A    05327-1749  2.58   25985  36673  83.182567 -17.822289 2016-07-20 
Ascella           HR 7194      zet   Sgr A    19026-2953  2.60   93506 176687 285.653043 -29.880063 2016-09-12 
Asellus Australis HR 3461      del   Cnc Aa   08447+1809  3.94   42911  74442 131.171248  18.154309 2016-11-06 
Asellus Borealis  HR 3449      gam   Cnc Aa   08433+2128  4.66   42806  74198 130.821442  21.468501 2016-11-06 
Aspidiske         HR 3699      iot   Car -    -           2.21   45556  80404 139.272529 -59.275232 2016-07-20 
Asterope          HR 1151      21    Tau A    03459+2433  5.76   17579  23432  56.476987  24.554512 2016-08-21 
Athebyne          HR 6132      eta   Dra A    16240+6131  2.73   80331 148387 245.997858  61.514214 2017-09-05 
Atik              HR 1131      omi   Per A    03443+3217  3.84   17448  23180  56.079720  32.288240 2016-09-12 
Atlas             HR 1178      27    Tau Aa1  03492+2403  3.62   17847  23850  57.290597  24.053415 2016-08-21 
Atria             HR 6217      alf   TrA -    16487-6902  1.91   82273 150798 252.166229 -69.027712 2016-07-20 
Avior             HR 3307      eps   Car A    08225-5931  1.86   41037  71129 125.628480 -59.509484 2016-07-20 
Azelfafage        HR 8301      pi01  Cyg -    -           4.69  107136 206672 325.523602  51.189623 2016-09-12 
Azha              HR 874       eta   Eri -    -           3.89   13701  18322  44.106873  -8.898145 2016-09-12 
Barnard's Star    GJ 699       V2500 Oph -    -           9.54   87937      - 269.454023   4.668288 2017-02-01 
Baten Kaitos      HR 539       zet   Cet Aa   01515-1020  3.74    8645  11353  27.865137 -10.335044 2016-09-12 
Beemim            HR 1393      ups03 Eri -    -           3.97   20535  28028  66.009239 -34.016848 2017-06-30 
Beid              HR 1298      omi01 Eri -    -           4.04   19587  26574  62.966415  -6.837580 2016-09-12 
Bellatrix         HR 1790      gam   Ori -    05251+0621  1.64   25336  35468  81.282764   6.349703 2016-06-30 
Betelgeuse        HR 2061      alf   Ori Aa   05552+0724  0.45   27989  39801  88.792939   7.407064 2016-06-30 
Bharani           HR 838       41    Ari Aa   02500+2716  3.61   13209  17573  42.495972  27.260507 2017-06-30 
Biham             HR 8450      tet   Peg -    -           3.52  109427 210418 332.549939   6.197863 2016-08-21 
Botein            HR 951       del   Ari -    -           4.35   14838  19787  47.907356  19.726674 2016-09-12 
Brachium          HR 5603      sig   Lib A    15041-2517  3.25   73714 133216 226.017567 -25.281961 2017-09-05 
Canopus           HR 2326      alf   Car A    06240-5242 -0.62   30438  45348  95.987958 -52.695661 2016-06-30 
Capella           HR 1708      alf   Aur Aa   05167+4600  0.08   24608  34029  79.172328  45.997991 2016-06-30 
Caph              HR 21        bet   Cas A    00092+5909  2.28     746    432   2.294522  59.149781 2016-06-30 
Castor            HR 2891      alf   Gem Aa   07346+3153  1.98   36850  60179 113.649428  31.888276 2016-06-30 
Castula           HR 265       ups02 Cas -    -           4.62    4422   5395  14.166271  59.181055 2017-09-05 
Cebalrai          HR 6603      bet   Oph -    -           2.76   86742 161096 265.868136   4.567300 2016-08-21 
Celaeno           HR 1140      16    Tau -    03448+2417  5.45   17489  23288  56.200893  24.289468 2016-08-21 
Cervantes         HR 6585      mu    Ara -    -           5.15   86796 160691 266.036255 -51.834051 2015-12-15 
Chalawan          HR 4277      47    UMa -    -           5.03   53721  95128 164.866553  40.430256 2015-12-15 
Chamukuy          HR 1412      tet02 Tau Aa   04287+1552  3.73   20894  28319  67.165586  15.870882 2017-09-05 
Chara             HR 4785      bet   CVn Aa   12337+4121  4.24   61317 109358 188.435603  41.357479 2016-07-20 
Chertan           HR 4359      tet   Leo -    -           3.33   54879  97633 168.560019  15.429571 2016-07-20 
Copernicus        HR 3522      55    Cnc A    08526+2820  5.95   43587  75732 133.149212  28.330820 2015-12-15 
Cor Caroli        HR 4915      alf02 CVn Aa   12560+3819  2.89   63125 112413 194.006943  38.318376 2016-07-20 
Cujam             HR 6117      ome   Her A    16254+1402  4.57   80463 148112 246.353979  14.033274 2017-02-01 
Cursa             HR 1666      bet   Eri -    05078-0505  2.78   23875  33111  76.962440  -5.086446 2016-07-20 
Dabih             HR 7776      bet01 Cap Aa   20210-1447  3.05  100345 193495 305.252803 -14.781405 2016-08-21 
Dalim             HR 963       alf   For A    03121-2859  3.86   14879  20010  48.018864 -28.987620 2017-09-05  
Deneb             HR 7924      alf   Cyg -    20414+4517  1.25  102098 197345 310.357980  45.280339 2016-06-30 
Deneb Algedi      HR 8322      del   Cap Aa   21470-1608  2.85  107556 207098 326.760184 -16.127287 2017-02-01 
Denebola          HR 4534      bet   Leo -    11491+1434  2.14   57632 102647 177.264910  14.572058 2016-06-30 
Diadem            HR 4968      alf   Com A    13100+1732  4.85   64241 114378 197.497029  17.529447 2017-02-01 
Diphda            HR 188       bet   Cet -    -           2.04    3419   4128  10.897379 -17.986606 2016-08-21 
Dschubba          HR 5953      del   Sco A    16003-2237  2.29   78401 143275 240.083359 -22.621710 2016-08-21 
Dubhe             HR 4301      alf   UMa A    11037+6145  1.81   54061  95689 165.931965  61.751035 2016-06-30 
Dziban            HR 6636      psi01 Dra A    17419+7209  4.57   86614 162003 265.484814  72.148847 2017-09-05 
Edasich           HR 5744      iot   Dra -    15249+5858  3.29   75458 137759 231.232396  58.966063 2015-12-15 
Electra           HR 1142      17    Tau -    03449+2407  3.72   17499  23302  56.218904  24.113336 2016-08-21 
Elnath            HR 1791      bet   Tau Aa   05263+2836  1.65   25428  35497  81.572971  28.607452 2016-07-20 
Eltanin           HR 6705      gam   Dra -    17566+5129  2.24   87833 164058 269.151541  51.488896 2016-08-21 
Enif              HR 8308      eps   Peg -    21442+0953  2.38  107315 206778 326.046484   9.875009 2016-07-20 
Errai             HR 8974      gam   Cep Aa   23393+7738  3.21  116727 222404 354.836655  77.632313 2015-12-15 
Fafnir            HR 6945      42    Dra A    18260+6534  4.82   90344 170693 276.496406  65.563480 2015-12-15 
Fang              HR 5944      pi    Sco Aa   15589-2607  2.89   78265 143018 239.712972 -26.114108 2017-06-30 
Fomalhaut         HR 8728      alf   PsA A    22577-2937  1.17  113368 216956 344.412693 -29.622237 2015-12-15
Fulu              HR 153       zet   Cas -    -           3.69    2920   3360   9.242851  53.896908 2017-06-30 
Furud             HR 2282      zet   CMa Aa   06203-3004  3.02   30122  44402  95.078300 -30.063367 2016-07-20 
Fuyue             HR 6630      -     Sco -    17499-3703  3.19   87261 161892 267.464503 -37.043305 2017-06-30 
Gacrux            HR 4763      gam   Cru -    12312-5707  1.59   61084 108903 187.791498 -57.113213 2016-07-20 
Giausar           HR 4434      lam   Dra -    -           3.82   56211 100029 172.850920  69.331075 2017-02-01 
Gienah            HR 4662      gam   Crv A    12158-1733  2.58   59803 106625 183.951543 -17.541929 2016-11-06 
Ginan             HR 4700      eps   Cru -    -           3.59   60260 107446 185.340039 -60.401147 2017-11-17
Gomeisa           HR 2845      bet   CMi A    07272+0817  2.89   36188  58715 111.787674   8.289316 2016-07-20 
Grumium           HR 6688      ksi   Dra A    17535+5652  3.73   87585 163588 268.382207  56.872646 2016-09-12 
Hadar             HR 5267      bet   Cen Aa   14038-6022  0.61   68702 122451 210.955856 -60.373035 2016-08-21 
Haedus            HR 1641      eta   Aur -    -           3.18   23767  32630  76.628722  41.234476 2017-06-30 
Hamal             HR 617       alf   Ari -    -           2.01    9884  12929  31.793357  23.462418 2016-07-20 
Hassaleh          HR 1577      iot   Aur -    -           2.69   23015  31398  74.248421  33.166100 2017-06-30 
Hatysa            HR 1899      iot   Ori Aa   05354-0555  2.80   26241  37043  83.858258 -05.909901 2017-09-05 
Helvetios         HR 8729      51    Peg -    22575+2046  5.49  113357 217014 344.366583  20.768831 2015-12-15 
Homam             HR 8634      zet   Peg A    22415+1050  3.41  112029 214923 340.365503  10.831363 2016-08-21 
Iklil             HR 5928      rho   Sco Aa   15569-2913  3.87   78104 142669 239.221151 -29.214073 2017-09-05 
Intercrus         HR 3743      -     UMa -    09287+4536  5.41   46471  81688 142.166618  45.601482 2015-12-15 
Izar              HR 5506      eps   Boo A    14450+2704  2.35   72105 129988 221.246763  27.074207 2016-08-21 
Jabbah            HR 6027      nu    Sco Aa   16120-1928  4.50   79374 145502 242.998894 -19.460708 2017-06-30 
Jishui            HR 2930      omi   Gem -    -           4.89   37265  61110 114.791387  34.584346 2017-06-30 
Kaffaljidhma      HR 804       gam   Cet A    02433+0314  3.56   12706  16970  40.825163   3.235816 2017-02-01 
Kang              HR 5315      kap   Vir -    -           4.18   69427 124294 213.223939 -10.273704 2017-06-30 
Kaus Australis    HR 6879      eps   Sgr A    18242-3423  1.79   90185 169022 276.042993 -34.384616 2016-07-20 
Kaus Borealis     HR 6913      lam   Sgr -    18280-2525  2.82   90496 169916 276.992668 -25.421701 2016-07-20 
Kaus Media        HR 6859      del   Sgr -    18210-2950  2.72   89931 168454 275.248508 -29.828104 2016-07-20 
Keid              HR 1325      omi02 Eri A    04153-0739  4.43   19849  26965  63.817999  -7.652872 2016-09-12 
Khambalia         HR 5359      lam   Vir A    14191-1322  4.52   69974 125337 214.777468 -13.371096 2017-09-05 
Kitalpha          HR 8131      alf   Equ A    21158+0515  3.92  104987 202447 318.955949   5.247865 2016-08-21 
Kochab            HR 5563      bet   UMi -    14507+7409  2.07   72607 131873 222.676357  74.155504 2016-07-20 
Kornephoros       HR 6148      bet   Her Aa   16302+2129  2.78   80816 148856 247.554998  21.489611 2016-08-21 
Kurhah            HR 8417      ksi   Cep Aa   22038+6438  4.26  108917 209790 330.947724  64.627971 2016-09-12 
Larawag           HR 6241      eps   Sco -    -           2.29   82396 151680 252.540878 -34.293232 2017-11-17
Lesath            HR 6508      ups   Sco -    -           2.70   85696 158408 262.690979 -37.295813 2016-08-21 
Libertas          HR 7595      ksi   Aql A    19542+0828  4.71   97938 188310 298.562008   8.461453 2015-12-15 
Lich              PSR B1257+12 -     Vir -    -              -       -      - 195.012701  12.682417 2015-12-15 
Lilii Borea       HR 824       39    Ari -    -           4.52   13061  17361  41.977256  29.247115 2017-09-05 
Maasym            HR 6526      lam   Her -    -           4.41   85693 158899 262.684626  26.110645 2016-09-12 
Mahasim           HR 2095      tet   Aur A    05597+3713  2.65   28380  40312  89.930292  37.212585 2017-06-30 
Maia              HR 1149      20    Tau -    03458+2422  3.87   17573  23408  56.456695  24.367751 2016-07-20 
Marfik            HR 6149      lam   Oph A    16309+0159  3.82   80883 148857 247.728453   1.983888 2016-09-12 
Markab            HR 8781      alf   Peg -    -           2.49  113963 218045 346.190223  15.205267 2016-06-30 
Markeb            HR 3734      kap   Vel -    -           2.47   45941  81188 140.528407 -55.010667 2017-09-05 
Marsic            HR 6008      kap   Her A    16081+1703  5.00   79043 145001 242.018857  17.046980 2017-02-01 
Matar             HR 8650      eta   Peg Aa   22430+3013  2.93  112158 215182 340.750579  30.221244 2016-08-21 
Mebsuta           HR 2473      eps   Gem -    06439+2508  3.06   32246  48329 100.983026  25.131127 2016-07-20 
Megrez            HR 4660      del   UMa -    12154+5702  3.32   59774 106591 183.856503  57.032615 2016-06-30 
Meissa            HR 1879      lam   Ori A    05351+0956  3.39   26207  36861  83.784486   9.934156 2016-07-20 
Mekbuda           HR 2650      zet   Gem Aa   07041+2034  4.01   34088  52973 106.027215  20.570295 2016-09-12 
Meleph            HR 3429      eps   Cnc Aa   08405+1933  6.29   42556  73731 130.112544  19.544809 2017-09-05 
Menkalinan        HR 2088      bet   Aur Aa   05595+4457  1.90   28360  40183  89.882179  44.947433 2016-07-20 
Menkar            HR 911       alf   Cet -    -           2.54   14135  18884  45.569885   4.089737 2016-06-30 
Menkent           HR 5288      tet   Cen -    14067-3622  2.06   68933 123139 211.670617 -36.369958 2016-08-21 
Menkib            HR 1228      ksi   Per -    03590+3547  3.98   18614  24912  59.741253  35.791032 2016-09-12 
Merak             HR 4295      bet   UMa -    -           2.34   53910  95418 165.460319  56.382426 2016-06-30 
Merga             HR 5533      38    Boo -    -           5.76   72487 130945 222.327791  46.116206 2016-09-12 
Meridiana         HR 7254      alf   CrA -    -           4.11   94114 178253 287.368087 -37.904473 2017-09-05 
Merope            HR 1156      23    Tau Aa   03463+2357  4.14   17608  23480  56.581552  23.948348 2016-07-20 
Mesarthim         HR 546       gam02 Ari A    01535+1918  4.75    8832  11502  28.382560  19.293852 2016-08-21 
Miaplacidus       HR 3685      bet   Car -    -           1.67   45238  80007 138.299906 -69.717208 2016-07-20 
Mimosa            HR 4853      bet   Cru -    12477-5941  1.25   62434 111123 191.930263 -59.688764 2016-07-20 
Minchir           HR 3418      sig   Hya -    -           4.45   42402  73471 129.689323   3.341436 2017-09-05 
Minelauva         HR 4910      del   Vir -    12556+0324  3.39   63090 112300 193.900869   3.397470 2017-06-30 
Mintaka           HR 1852      del   Ori Aa   05320-0018  2.25   25930  36486  83.001667  -0.299095 2016-07-20 
Mira              HR 681       omi   Cet Aa   02193-0259  6.47   10826  14386  34.836617  -2.977640 2016-06-30 
Mirach            HR 337       bet   And -    01097+3537  2.07    5447   6860  17.433013  35.620557 2016-06-30 
Miram             HR 834       eta   Per A    02507+5554  3.77   13268  17506  42.674207  55.895497 2017-09-05 
Mirfak            HR 1017      alf   Per -    03243+4952  1.79   15863  20902  51.080709  49.861179 2016-07-20 
Mirzam            HR 2294      bet   CMa -    06227-1757  1.98   30324  44743  95.674939 -17.955919 2016-07-20 
Misam             HR 941       kap   Per Aa   03095+4451  3.79   14668  19476  47.374048  44.857541 2017-09-05 
Mizar             HR 5054      zet   UMa Aa   13239+5456  2.23   65378 116656 200.981429  54.925362 2016-06-30 
Mothallah         HR 544       alf   Tri -    01531+2935  3.42    8796  11443  28.270450  29.578826 2016-08-21 
Muliphein         HR 2657      gam   CMa -    -           4.11   34045  53244 105.939554 -15.633286 2016-08-21 
Muphrid           HR 5235      eta   Boo Aa   13547+1824  2.68   67927 121370 208.671161  18.397717 2016-09-12 
Muscida           HR 3323      omi   UMa A    08303+6043  3.35   41704  71369 127.566128  60.718170 2016-07-20 
Musica            HR 8030      18    Del -    20584+1050  5.48  103527 199665 314.608058  10.839286 2015-12-15 
Naos              HR 3165      zet   Pup -    -           2.21   39429  66811 120.896031 -40.003148 2016-08-21 
Nashira           HR 8278      gam   Cap A    -           3.69  106985 206088 325.022735 -16.662308 2016-08-21 
Nekkar            HR 5602      bet   Boo -    -           3.49   73555 133208 225.486510  40.390567 2016-08-21 
Nembus            HR 464       51    And -    -           3.59    7607   9927  24.498154  48.628214 2017-09-05 
Nihal             HR 1829      bet   Lep A    05282-2046  2.83   25606  36079  82.061346 -20.759441 2016-07-20 
Nunki             HR 7121      sig   Sgr Aa   18553-2618  2.05   92855 175191 283.816360 -26.296724 2016-08-21 
Nusakan           HR 5747      bet   CrB A    15278+2906  3.90   75695 137909 231.957211  29.105699 2016-09-12 
Ogma              HD 149026    -     Her -    -           8.16   80838 149026 247.623409  38.347311 2015-12-15 
Peacock           HR 7790      alf   Pav Aa   20256-5644  1.94  100751 193924 306.411904 -56.735090 2016-07-20 
Phact             HR 1956      alf   Col -    05396-3404  2.65   26634  37795  84.912254 -34.074110 2016-07-20 
Phecda            HR 4554      gam   UMa Aa   11538+5342  2.41   58001 103287 178.457679  53.694758 2016-07-20 
Pherkad           HR 5735      gam   UMi -    -           3.00   75097 137422 230.182150  71.834017 2016-08-21 
Pipirima          HR 6252      mu02  Sco A    16523-3801  3.56   82545 151985 253.083939 -38.017535 2017-09-05 *
Pleione           HR 1180      28    Tau Aa   03492+2408  5.05   17851  23862  57.296738  24.136710 2016-06-30 
Polaris           HR 424       alf   UMi Aa   02318+8916  2.13   11767   8890  37.954561  89.264109 2016-06-30 
Polaris Australis HR 7228      sig   Oct -    -           5.45  104382 177482 317.195164 -88.956499 2017-09-05 
Polis             HR 6812      mu01  Sgr Aa   18138-2104  3.84   89341 166937 273.440870 -21.058832 2017-09-05 
Pollux            HR 2990      bet   Gem -    07453+2802  1.16   37826  62509 116.328958  28.026199 2015-12-15 
Porrima           HR 4825      gam   Vir A    12417-0127  3.44   61941 110379 190.415181  -1.449373 2016-07-20 
Praecipua         HR 4247      46    LMi -    -           3.79   53229  94264 163.327937  34.214872 2017-06-30 
Prima Hyadum      HR 1346      gam   Tau A    04198+1538  3.65   20205  27371  64.948349  15.627643 2017-09-05 
Procyon           HR 2943      alf   CMi A    07393+0514  0.40   37279  61421 114.825493   5.224993 2016-06-30 
Propus            HR 2216      eta   Gem A    06149+2230  3.32   29655  42995  93.719405  22.506794 2016-07-20 
Proxima Centauri  GJ 551       alf   Cen C    14396-6050 11.01   70890 999999 217.428953 -62.679484 2016-08-21 
Ran               HR 1084      eps   Eri -    03329-0927  3.73   16537  22049  53.232687  -9.458259 2015-12-15 
Rasalas           HR 3905      mu    Leo -    -           3.88   48455  85503 148.190903  26.006953 2016-09-12 
Rasalgethi        HR 6406      alf01 Her Aa   17146+1423  3.37   84345 156014 258.661910  14.390333 2016-06-30 
Rasalhague        HR 6556      alf   Oph A    17349+1234  2.08   86032 159561 263.733627  12.560035 2016-07-20 
Rastaban          HR 6536      bet   Dra A    17304+5218  2.79   85670 159181 262.608174  52.301389 2016-08-21 
Regulus           HR 3982      alf   Leo A    10084+1158  1.36   49669  87901 152.092962  11.967209 2016-06-30 
Revati            HR 361       zet   Psc A    01137+0735  5.21    5737   7344  18.432864   7.575354 2017-06-30 
Rigel             HR 1713      bet   Ori A    05145-0812  0.18   24436  34085  78.634467  -8.201638 2016-06-30 
Rigil Kentaurus   HR 5459      alf   Cen A    14396-6050 -0.01   71683 128620 219.902066 -60.833975 2016-11-06 
Rotanev           HR 7882      bet   Del A    20375+1436  3.64  101769 196524 309.387235  14.595115 2016-09-12 
Ruchbah           HR 403       del   Cas Aa   01258+6014  2.66    6686   8538  21.453964  60.235284 2016-08-21 
Rukbat            HR 7348      alf   Sgr -    -           3.96   95347 181869 290.971570 -40.615940 2016-07-20 
Sabik             HR 6378      eta   Oph A    17104-1544  2.43   84012 155125 257.594529 -15.724907 2016-08-21 
Saclateni         HR 1612      zet   Aur A    05025+4105  3.69   23453  32068  75.619531  41.075839 2017-06-30 
Sadachbia         HR 8518      gam   Aqr Aa   22217-0123  3.86  110395 212061 335.414064  -1.387334 2016-08-21 
Sadalbari         HR 8684      mu    Peg -    -           3.51  112748 216131 342.500809  24.601577 2016-08-21 
Sadalmelik        HR 8414      alf   Aqr A    22058-0019  2.95  109074 209750 331.445983  -0.319849 2016-08-21 
Sadalsuud         HR 8232      bet   Aqr A    21316-0534  2.90  106278 204867 322.889715  -5.571176 2016-08-21 
Sadr              HR 7796      gam   Cyg A    20222+4015  2.23  100453 194093 305.557091  40.256679 2016-08-21 
Saiph             HR 2004      kap   Ori -    -           2.07   27366  38771  86.939120  -9.669605 2016-07-20 
Salm              HR 8880      tau   Peg -    -           4.58  115250 220061 350.159341  23.740336 2017-09-05 
